2020-02-22 15:42:17,950 [Server thread] INFO Treasure2 | WellGenerator.java:114 | CHEATER! Wishing Well at coords: -1512 93 2520
2020-02-22 15:42:27,828 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! SCARCE chest at coords: -1544 78 2344
2020-02-22 15:42:51,147 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -1592 94 2424
2020-02-22 15:42:57,650 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! UNCOMMON chest at coords: -1624 81 2520
2020-02-22 15:43:22,726 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -1448 91 2552
2020-02-22 15:43:35,009 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! UNCOMMON chest at coords: -1688 63 2568
2020-02-22 15:43:39,805 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! RARE chest at coords: -1528 74 2584
2020-02-22 15:43:48,639 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! SCARCE chest at coords: -1768 64 2424
2020-02-22 15:43:54,780 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -1800 64 2536
2020-02-22 15:44:05,580 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! UNCOMMON chest at coords: -1608 74 2600
2020-02-22 15:44:12,893 [Server thread] INFO Treasure2 | WellGenerator.java:114 | CHEATER! Wishing Well at coords: -1832 63 2584
2020-02-22 15:44:30,366 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -1880 70 2536
2020-02-22 15:44:42,789 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! RARE chest at coords: -1896 75 2664
2020-02-22 15:44:51,991 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -1736 63 2680
2020-02-22 15:46:15,865 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:281 | CHEATER! EPIC chest at coords: -1842 57 2728
2020-02-22 15:46:16,739 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -1960 63 2488
2020-02-22 15:46:24,005 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -1768 63 2776
2020-02-22 15:47:39,639 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -1992 72 2600
2020-02-22 15:47:52,639 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -2088 76 2632
2020-02-22 15:48:00,845 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:281 | CHEATER! SCARCE chest at coords: -2162 50 2824
2020-02-22 15:48:02,776 [Server thread] INFO Treasure2 | WellGenerator.java:114 | CHEATER! Wishing Well at coords: -2170 73 2712
2020-02-22 15:48:06,705 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -2200 72 2728
2020-02-22 15:48:15,422 [Server thread] WARN GottschCore | LootTable.java:71 | Tried to over-fill a container
2020-02-22 15:48:15,422 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! RARE chest at coords: -2168 76 2600
2020-02-22 15:48:19,304 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -2264 68 2792
2020-02-22 15:48:28,999 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! EPIC chest at coords: -2280 68 2872
2020-02-22 15:50:00,252 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! UNCOMMON chest at coords: -2280 70 2952
2020-02-22 15:50:28,103 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! UNCOMMON chest at coords: -2408 69 2904
2020-02-22 15:50:38,867 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -2488 64 2952
2020-02-22 15:50:47,899 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:281 | CHEATER! RARE chest at coords: -2380 47 3219
2020-02-22 15:50:51,017 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! UNCOMMON chest at coords: -2456 64 3240
2020-02-22 15:50:57,423 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! COMMON chest at coords: -2536 94 3016
2020-02-22 15:50:59,479 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:281 | CHEATER! SCARCE chest at coords: -2306 32 3272
2020-02-22 15:50:59,760 [Server thread] INFO Treasure2 | WellGenerator.java:114 | CHEATER! Wishing Well at coords: -2552 89 3014
2020-02-22 15:51:04,317 [Server thread] WARN GottschCore | LootTable.java:71 | Tried to over-fill a container
2020-02-22 15:51:04,317 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:368 | CHEATER! SCARCE chest at coords: -2568 84 3144
